"Severity","Freq","Map_ID"
"3",374,13213
"4",36,13213
"5",9,13213
"0",103,13106
"1",1200,13106
"2",2508,13106
"3",1298,13106
"4",254,13106
"5",8,13106
"6",1,13106
"0",274,13105
"1",9676,13105
"2",3296,13105
"3",3253,13105
"4",2306,13105
"5",65,13105
"0",236,12972
"1",13234,12972
"2",5538,12972
"3",2434,12972
"4",1443,12972
"0",233,12973
"1",7824,12973
"2",7926,12973
"3",5420,12973
"4",804,12973
"5",10,12973
"0",443,12974
"1",42983,12974
"2",24408,12974
"3",10350,12974
"4",1198,12974
"5",23,12974
"0",110,12975
"1",851,12975
"2",913,12975
"3",2206,12975
"4",1751,12975
"5",2,12975
"0",180,12900
"1",2624,12900
"2",3137,12900
"3",3896,12900
"4",1614,12900
"5",108,12900
"0",213,12971
"1",10230,12971
"2",8508,12971
"3",7929,12971
"4",2600,12971
"5",70,12971
"0",202,13096
"1",6503,13096
"2",9584,13096
"3",6442,13096
"4",6212,13096
"5",244,13096
"0",197,13104
"1",5512,13104
"2",7708,13104
"3",2623,13104
"4",1131,13104
"5",1,13104
"0",206,13094
"1",2795,13094
"2",4761,13094
"3",1778,13094
"4",463,13094
"5",5,13094
"0",226,13095
"1",1622,13095
"2",5881,13095
"3",7083,13095
"4",7848,13095
"5",16,13095
"0",309,12895
"1",9058,12895
"2",23251,12895
"3",14272,12895
"4",14578,12895
"5",308,12895
"0",123,12960
"1",2617,12960
"2",949,12960
"3",441,12960
"4",30,12960
"5",605,12960
"6",1420,12960
"0",89,13209
"1",4149,13209
"2",1886,13209
"3",516,13209
"4",36,13209
"0",131,13211
"1",8640,13211
"2",1817,13211
"3",396,13211
"4",126,13211
"5",163,13211
"0",194,13212
"1",8638,13212
"2",5351,13212
"3",1744,13212
"4",466,13212
"5",28,13212
"0",181,13093
"1",2442,13093
"2",5952,13093
"3",1906,13093
"4",812,13093
"0",127,13215
"1",1580,13215
"2",2062,13215
"3",929,13215
"4",554,13215
"0",278,13107
"1",5307,13107
"2",8544,13107
"3",4813,13107
"4",1781,13107
"5",10,13107
"0",910,12979
"1",4819,12979
"2",15001,12979
"3",7187,12979
"4",2846,12979
"5",4,12979
"6",75,12979
"0",205,13216
"1",5237,13216
"2",5663,13216
"3",2711,13216
"4",1777,13216
"5",28,13216
"0",69,12892
"1",604,12892
"2",4312,12892
"0",91,12957
"1",1006,12957
"2",2044,12957
"3",2490,12957
"5",6,12957
"0",157,13206
"1",1068,13206
"2",460,13206
"3",898,13206
"4",2514,13206
"5",119,13206
"0",103,12956
"1",1417,12956
"2",4222,12956
"3",83,12956
"5",9,12956
"0",138,12958
"1",370,12958
"2",5493,12958
"3",3107,12958
"5",54,12958
"0",88,12976
"1",590,12976
"2",3066,12976
"3",2130,12976
"5",27,12976
"0",128,12966
"1",4549,12966
"2",3388,12966
"3",860,12966
"5",15,12966
"0",162,12967
"1",7187,12967
"2",2154,12967
"3",1636,12967
"4",347,12967
"5",6,12967
"0",345,13091
"1",8574,13091
"2",10890,13091
"3",19393,13091
"4",9234,13091
"5",208,13091
"0",37,13097
"1",353,13097
"2",1682,13097
"3",2625,13097
"4",927,13097
"0",651,12893
"1",25184,12893
